Program,Runtime(s)_mean,Runtime(s)_std,Runtime(s)_max,Runtime(s)_min,Runtime(s)_median,cpu-cycles_mean,cpu-cycles_std,cpu-cycles_max,cpu-cycles_min,cpu-cycles_median,instructions_mean,instructions_std,instructions_max,instructions_min,instructions_median,cache-references_mean,cache-references_std,cache-references_max,cache-references_min,cache-references_median,cache-misses_mean,cache-misses_std,cache-misses_max,cache-misses_min,cache-misses_median,branch-instructions_mean,branch-instructions_std,branch-instructions_max,branch-instructions_min,branch-instructions_median,branch-misses_mean,branch-misses_std,branch-misses_max,branch-misses_min,branch-misses_median,page-faults_mean,page-faults_std,page-faults_max,page-faults_min,page-faults_median,branch-loads_mean,branch-loads_std,branch-loads_max,branch-loads_min,branch-loads_median
jacobi-1d-imper_main_O1,0.002167333333333333,6.315461778149189e-06,0.002188,0.002161,0.0021655,58328984.733333334,3647913.7025717543,69165985,47103840,58635741.0,31133424.8,1655392.489384095,35661670,28981433,30618566.0,661833.2666666667,70168.3520929748,853222,603466,636745.5,670519.6,69999.3684639492,819047,505459,675996.0,7245171.9,495871.5605463219,8332332,6019331,7215644.0,9272.633333333333,4568.973592450032,25002,7102,7570.0,8300.266666666666,1.3113124074319307,8302,8297,8300.5,9254607.1,527295.3059617213,11075523,8102152,9324052.0
jacobi-2d-imper_main_O1,0.05335636666666666,0.003254999279446219,0.057142,0.043418,0.0539155,364101273.93333334,20008408.213410303,410165752,331186126,363718262.0,597105368.6,30950300.7415295,681753136,552675490,589324339.0,4949753.433333334,312596.6008214909,5909611,4533356,4874085.5,297687.1666666667,86662.14600949635,505834,104750,327189.0,59307426.36666667,3349783.055198399,71291271,55746523,58171850.5,61008.96666666667,6978.203036566093,86605,55194,58195.0,12169.066666666668,1.284746944983288,12171,12167,12169.0,58466385.56666667,3150996.802444012,67627353,50196142,58482318.0
lu_main_O1,0.3800902,0.026580056065429566,0.393862,0.306691,0.393004,1252391607.2,15801901.446299333,1280978671,1218836492,1254652209.0,3119534806.0666666,40006659.68151822,3177615291,3040110801,3122087081.5,4804849.4,491529.6502548219,5846313,4094720,4635952.0,490664.9,108230.04755814315,819057,284865,473807.0,349243140.6666667,7732444.620000722,365649564,336853978,350653825.5,505899.56666666665,66451.96249232683,664675,413278,489805.5,10310.2,1.5177115259041287,10312,10307,10310.0,344107393.46666664,8820512.205561753,358038342,328737784,347190700.0
ludcmp_main_O1,1.8444584666666666,0.18338028020609073,1.961501,1.5278,1.9590480000000001,5629648084.666667,19743943.808103528,5672693932,5588866997,5629304883.0,2668467188.4,45978018.04284631,2823800371,2633754509,2652638089.5,32497449.733333334,745701.0342872196,34750054,31495846,32269128.0,515978.93333333335,122851.72846353508,941661,141867,503729.5,379219330.76666665,7390453.130690618,405776129,370203610,377045350.0,903467.7,24655.072437672876,988597,871299,897985.0,10320.2,1.4479474176014406,10322,10317,10320.0,383381228.46666664,7841220.449871595,402055698,370721581,385595322.5
mvt_main_O1,0.24398173333333334,0.018992586756930722,0.265041,0.201233,0.24940400000000001,1559093330.4666667,33204331.008732706,1613538124,1498465812,1560270651.5,892304032.6666666,197649530.38093612,1144710677,579400706,965877116.5,24315030.966666665,1969092.5624052533,27546919,20771091,24374989.0,5087778.533333333,521243.3352347743,6178822,4293320,5144702.5,102011944.83333333,27009933.7532579,151988848,73793252,100389348.0,45356.2,18897.25231331538,87492,29662,36252.5,39542.53333333333,1.502488357481956,39545,39540,39543.0,84174510.26666667,10047145.477889841,110269895,73485253,79435274.5
reg_detect_main_O1,0.022524833333333334,0.0016723965064280202,0.023225,0.018054,0.023164,87302533.03333333,28128220.488994636,189611952,71627757,82085227.5,42847236.7,5207541.601104711,56976532,35788941,42885343.5,997578.5333333333,130359.18226662434,1341321,763939,988609.5,992872.9666666667,104390.25190996732,1161031,643910,1007033.5,10393017.9,711607.9713646269,12532133,8714454,10318269.0,11509.666666666666,3744.3319401678214,28689,9345,10424.5,8265.6,1.2205143065175819,8267,8263,8266.0,13736558.433333334,1753438.6436352697,17962101,11274116,13292182.5
seidel-2d_main_O1,0.26164006666666667,0.01799558277588358,0.277961,0.224306,0.2705065,933458098.6,23285501.34339572,992019971,887663957,930340213.0,368875836.1666667,13200195.811537536,405509545,352575037,362773465.5,426913.5333333333,94752.20221505302,684307,353195,385374.0,321785.86666666664,124702.34288973286,594429,50436,304022.0,31070833.1,1787184.8078714674,36532767,29687822,30295306.0,34585.433333333334,5554.437937878786,52351,30078,32496.0,10215.8,0.9247553264474858,10217,10214,10216.0,35135260.2,810021.0477194039,36951103,32698813,34942000.5
syr2k_main_O1,2.298670733333333,0.2160802940519601,2.454669,1.876316,2.4093875000000002,6964081265.5,42942359.324149944,7079917691,6867339258,6968683675.0,14313767265.0,58849990.31161863,14407395942,14144525526,14316414651.0,13657360.3,231469.74941747708,14043896,13101384,13626751.0,1531650.2333333334,210865.6474338632,1871037,874128,1528849.0,1084164003.5333333,3910743.391936883,1092838736,1075121535,1084814124.5,1073601.3,8752.7404620811,1090075,1058187,1072242.0,14408.4,1.3025174563656887,14410,14406,14408.5,1086829392.5666666,4110095.688568515,1093622919,1074024737,1087827727.5
syrk_main_O1,1.1136178333333333,0.11080095635466869,1.193365,0.923111,1.1827305,3497664499.633333,23352304.74705731,3544171744,3465896944,3492792559.5,8946295211.566668,47032743.50198378,9037140811,8862454754,8940800829.0,5400887.933333334,84522.60620724112,5612754,5255364,5376993.5,445604.0333333333,101927.84032106287,601688,182912,466213.0,1075804892.1333334,6051573.945387898,1084961220,1064115102,1075919103.5,1051095.2666666666,5789.454443557143,1060661,1037693,1050533.0,12359.433333333332,1.524135330522511,12362,12356,12360.0,1078819805.6666667,9018288.071123743,1096169127,1055355099,1082239550.0
trisolv_main_O1,0.012057833333333332,0.0007025160733629752,0.012852,0.01124,0.012022999999999999,861193555.0333333,27512417.741512742,942499087,827625848,851947639.0,670908686.8,76713949.72293821,743227628,447117128,696766831.0,3921300.6333333333,678052.073248141,4908174,2390218,4136221.0,2686483.566666667,270498.3320060349,3490489,2292875,2668742.0,77051105.26666667,9801402.526243096,91679427,56642189,80157794.5,54252.3,14622.187064938986,67441,25229,60883.0,39527.1,1.5833182092437321,39529,39524,39527.0,67968679.7,5553321.922881383,80375689,59389589,66402509.0
trmm_main_O1,0.5641421999999999,0.05707916768742912,0.610289,0.473707,0.607532,1883868726.5333333,26971108.185510058,1939363547,1826103096,1883114541.0,4595961312.133333,63443399.071628906,4726109558,4451208016,4594960491.5,5663176.5,152880.0161200911,6054789,5429794,5661685.5,490989.13333333336,116144.625032679,665393,231148,500307.5,531121231.6333333,7258802.626305935,543386906,513888255,532928492.0,950577.2333333333,24706.489491885397,987230,860111,956182.5,12359.666666666666,1.4932799662055747,12361,12357,12360.0,531903709.53333336,6383105.02424514,544041135,517644281,533767136.0
