Program,Runtime,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
2mm26_main_mlir,14.049457,56043315039,70474346705,2185387284,1455699,5624551539,10404155,18509,5622215349,10575806,26397148508,2249891208,7676469951,5657160,<not supported>,35501762,<not supported>,8662540,<not supported>,<not supported>,2155925685,868101,3868805,165678,3070627,26595001894,2186020506,7695033330,2265725,<not supported>,<not supported>,31352,1198645
2mm27_main_mlir,13.935580,55831915888,70498695610,2195092857,1534709,5624543949,12759852,18509,5646438126,13044872,26443171704,2242191708,7668590750,5694183,<not supported>,33048028,<not supported>,9910207,<not supported>,<not supported>,2166799343,882374,4203082,261447,3522882,26604990938,2185614364,7687571860,2305387,<not supported>,<not supported>,133048,4403424
2mm28_main_mlir,14.105837,56358444712,70303237670,2181985899,1612954,5639081320,10844790,18508,5652619738,10864077,26473103404,2213014739,7671693134,3659184,<not supported>,24826566,<not supported>,8481265,<not supported>,<not supported>,2177405950,1018322,4195958,315098,3621084,26555661411,2182871192,7675960536,2296048,<not supported>,<not supported>,6822,2291029
2mm29_main_mlir,13.886646,55790943787,70186436035,2171138764,1414661,5654897045,12218631,18509,5664984205,12237327,26541530890,2249269710,7682085919,5260122,<not supported>,32208459,<not supported>,15209882,<not supported>,<not supported>,2167324565,1082629,4711297,564168,3832701,26624430058,2177370517,7653114932,4732546,<not supported>,<not supported>,417111,3465927
2mm30_main_mlir,14.065610,56080073751,70392100932,2184209900,1607761,5607134307,10403788,18510,5611327960,10345165,26471894483,2251027745,7659567073,3324626,<not supported>,33935526,<not supported>,8159127,<not supported>,<not supported>,2166952880,811947,5284864,1282218,3247095,26650380397,2171232816,7714475967,2408562,<not supported>,<not supported>,5860,1219596
2mm31_main_mlir,14.015173,55818273395,70343593531,2165268838,1490885,5677676410,10918794,18510,5680592296,10709475,26474747592,2255369142,7666646193,3793093,<not supported>,34875505,<not supported>,8170425,<not supported>,<not supported>,2164646133,836877,4018041,279875,3468320,26639279040,2192830174,7674147241,2250233,<not supported>,<not supported>,8700,1240453
2mm32_main_mlir,13.937428,55840190379,70279697055,2176285425,1599044,5636628174,10773541,18510,5656087312,10980635,26457425475,2250682672,7670592641,5308182,<not supported>,31374394,<not supported>,10060623,<not supported>,<not supported>,2165773279,915689,4992765,623542,3892565,26602763392,2187117829,7703663870,2263558,<not supported>,<not supported>,11410,1214198
2mm33_main_mlir,13.986553,55863629634,70338408203,2175963985,1958567,5664119186,10888938,18508,5642243347,10654671,26542801930,2261203630,7669165719,5278441,<not supported>,33643097,<not supported>,7975897,<not supported>,<not supported>,2177166719,1036152,2444670,145031,1309048,26508442729,2182904974,7691034584,2333669,<not supported>,<not supported>,333451,1254254
2mm34_main_mlir,14.036556,56085144292,70200312875,2178922001,1660369,5647597811,10841325,18509,5672735659,10916891,26575859560,2224548612,7690464704,3955781,<not supported>,23654942,<not supported>,10625339,<not supported>,<not supported>,2162339117,1044048,3936934,267775,3397570,26611037575,2190210481,7682903636,2271939,<not supported>,<not supported>,288457,1359933
2mm35_main_mlir,13.967238,56068241926,70288450443,2187467009,1723114,5621714699,10855746,18507,5638315504,10896427,26571232552,2262073127,7674251964,6273655,<not supported>,33247671,<not supported>,10713607,<not supported>,<not supported>,2157183270,872078,4234919,309071,3533944,26539116728,2179601835,7691764577,2394826,<not supported>,<not supported>,180798,2407370
2mm36_main_mlir,13.986952,56124547961,70368158711,2175904872,1356641,5663561599,10866056,18508,5675123359,10931822,26582118965,2251942499,7691960015,6198896,<not supported>,31643351,<not supported>,12254580,<not supported>,<not supported>,2167975076,1022355,3748246,1210314,146825,26556056627,2190686739,7689241467,2361112,<not supported>,<not supported>,20191,1254051
2mm37_main_mlir,14.042519,56192465026,70366688966,2184945381,1874392,5660451230,11101578,18509,5674151928,11253672,26360295942,2241595634,7650931697,7119477,<not supported>,32279184,<not supported>,10265850,<not supported>,<not supported>,2171835758,866282,2529572,64721,128999,26631387852,2197299600,7686186765,2289375,<not supported>,<not supported>,12867,1194658
2mm38_main_mlir,13.991209,55567234110,69993871787,2173895071,2392567,5634268671,10764200,18506,5639453553,10833964,26517525173,2260272513,7693070170,6770203,<not supported>,32748060,<not supported>,10048346,<not supported>,<not supported>,2173129952,1273170,2504137,156708,155676,26566575881,2189888603,7658780518,2251141,<not supported>,<not supported>,34520,1335504
2mm39_main_mlir,14.045624,55949559549,70293056619,2187015828,1755313,5609275513,10414683,18510,5644470730,10633699,26528340021,2249333588,7680183355,5123084,<not supported>,32156030,<not supported>,8540472,<not supported>,<not supported>,2162360180,923367,3248348,146137,2408908,26528606394,2186713266,7684535369,2637521,<not supported>,<not supported>,69676,1267056
2mm40_main_mlir,14.095688,55878333120,70180038917,2174373683,1379995,5650000626,10850662,18509,5665720009,10890760,26525598125,2218772479,7692506173,6086178,<not supported>,21035894,<not supported>,8160422,<not supported>,<not supported>,2178475199,865443,4156804,518128,3777179,26552772356,2177244478,7666351987,2358309,<not supported>,<not supported>,215893,1273063
2mm41_main_mlir,14.023477,56021172809,70408976524,2179073152,1432857,5666347617,11173262,18510,5670456307,11188844,26444025018,2238198182,7655049975,4154658,<not supported>,31971922,<not supported>,16296324,<not supported>,<not supported>,2170763420,639239,4716822,746012,3826553,26629158980,2192986531,7697154794,2251356,<not supported>,<not supported>,38731,1214534
2mm42_main_mlir,13.992190,55702657646,70245121204,2172997519,1843572,5670192102,10946723,18506,5659495854,10751295,26544609256,2258255318,7665627986,6212846,<not supported>,31924486,<not supported>,8127408,<not supported>,<not supported>,2176608292,937147,2341793,141979,1100251,26511418350,2181857379,7681885257,2320657,<not supported>,<not supported>,110147,1318732
2mm43_main_mlir,14.080592,55912586419,70221980785,2169571322,2161397,5645836624,10865909,18508,5630374224,10611243,26556704412,2264826929,7669222392,5650581,<not supported>,32215978,<not supported>,8279408,<not supported>,<not supported>,2167681813,1092630,2398146,174390,892031,26551429384,2179826858,7675099219,2319694,<not supported>,<not supported>,422665,1269805
2mm44_main_mlir,14.037881,55889610920,70178646510,2170994167,1606002,5629708245,10883483,18507,5674305288,11195801,26440849420,2245223202,7684139408,4590265,<not supported>,30163373,<not supported>,10267248,<not supported>,<not supported>,2165988927,793975,3685115,139616,3092562,26599093337,2195404893,7685780932,2316121,<not supported>,<not supported>,185808,1366664
2mm45_main_mlir,13.936250,55420012443,70216750154,2181555108,1893460,5655007272,10688167,18508,5676641483,10776762,26499753371,2216165017,7690915590,7172776,<not supported>,20809428,<not supported>,8465144,<not supported>,<not supported>,2158656579,1173773,2735357,166788,632424,26560485912,2192357482,7655465912,2239854,<not supported>,<not supported>,57127,1193670
2mm46_main_mlir,14.079619,55911776898,70184058602,2171518358,1786126,5653434808,10771102,18509,5647944700,10550618,26515646801,2267784260,7657828750,6559887,<not supported>,28104976,<not supported>,8248446,<not supported>,<not supported>,2173532786,1010869,2693665,140834,1854768,26572658941,2187694847,7682295759,2303971,<not supported>,<not supported>,439758,1244035
2mm47_main_mlir,13.988292,55882626631,70361576999,2166236675,1794048,5635997262,10646237,18509,5621986994,10565757,26525226499,2264791506,7652762188,5088831,<not supported>,29709081,<not supported>,9830217,<not supported>,<not supported>,2169954970,851996,2671221,136347,1317882,26510645978,2173267313,7725967928,2412790,<not supported>,<not supported>,47452,1304686
2mm48_main_mlir,14.033771,55883479279,70340952724,2188212787,1482862,5610372287,10515708,18508,5646927521,10788297,26546383766,2242266134,7687908939,3834183,<not supported>,29011180,<not supported>,8398217,<not supported>,<not supported>,2165273997,839571,5561964,1460770,3958122,26574654661,2180644262,7699555807,2326987,<not supported>,<not supported>,34519,1190773
2mm49_main_mlir,14.123896,56129148088,70347735530,2181826452,1523798,5642132522,10758331,18510,5650651497,10757353,26485464194,2246329520,7680942361,5878466,<not supported>,29227319,<not supported>,8435766,<not supported>,<not supported>,2165298719,957483,4198295,151838,3161010,26572387509,2189556933,7663988732,2230311,<not supported>,<not supported>,37836,1179957
2mm50_main_mlir,13.961081,55807835844,70304709591,2177919426,1463672,5614530141,10663410,18508,5629890370,10642168,26550427090,2239009377,7690384530,5116460,<not supported>,28657612,<not supported>,10819611,<not supported>,<not supported>,2152870150,800792,3781631,138456,2456101,26607590348,2200336942,7680929395,2219611,<not supported>,<not supported>,276395,1265758
